Description,Category
need to configure vpn,Laptops/Desktop
need to install vpn,Laptops/Desktop
Need to configure outlook profile,Laptops/Desktop
Need to configure login profile,Laptops/Desktop
Need to configure OS,Laptops/Desktop
Need to allocate new power adaptor,Laptops/Desktop
need to allocate new carry bag,Laptops/Desktop
Need to allocate new laptop,Laptops/Desktop
Data BAckup,Laptops/Desktop
Printerissue,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
password reset,Laptops/Desktop
outlook issue,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
"Dear Sir,Please reset VPN ID of Silani Depot. VPN",Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
password issue,Laptops/Desktop
outlook issue,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
Photo viewer issue,Laptops/Desktop
Need to install ip phoneJayant Singh,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
Need to install ip phone,Laptops/Desktop
Need to install ip phone,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
Need to install ip phone,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
JKUSER_JHAR Wi-fi issue,Network
need to install ip phone,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
need to install IP Phone,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
ip phone installation,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
ip phone installation,Laptops/Desktop
mail issue,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
Wifi issue,Laptops/Desktop
TV not connected with mac,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
Wifi issue,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
HDMI Not working,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
SAP & VPN configuration,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
vpn access,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
Need to physically verify the asset in IT store- A,Laptops/Desktop
Need to check Printerwith Canon Engineer,Laptops/Desktop
Need to prepare board Room for meeting,Laptops/Desktop
Need to provide Usb Mouse on temp basis to Procure,Laptops/Desktop
Need to provide power adaptor on temp basis to Nih,Laptops/Desktop
Need to provide IO to vendor,Laptops/Desktop
Need to provide facing to vendor,Laptops/Desktop
Need to provide patch cable to vendor,Laptops/Desktop
Need to provide CAT-6 Cable to vendor,Laptops/Desktop
Basement Padam tower AP-3 is not working,Laptops/Desktop
Basement Padam tower AP-2 is not working,Laptops/Desktop
Basement Padam tower AP-1 is not working,Laptops/Desktop
Need to provide laptop to Velocis for troubleshoot,Laptops/Desktop
Need to provide laptop to Velocis for troubleshoot,Laptops/Desktop
New Battery backup issue,Laptops/Desktop
"Dear,I am unable to fill travel requisition form ",Laptops/Desktop
Please reset VPN ID of following user.Vikas.Mish,Laptops/Desktop
Error Account locked out. ,Network
pls reset password cfg.dediapada,Network
MY DESKTOP PC IS VERY SLOW.PROBLEM WAS RAISED FEW,Laptops/Desktop
please issue hp laser jet 1020 cartadge,Printer
MOUSE WAS REPAIRED FEW DAYS BACK DUE TO SCROLLING ,Laptops/Desktop
VPN authenticator not installed in the new laptop ,Network
Fwd: INC0021705 has new comment(s),Inquiry / Help
RE: Replacement of Vodafone Wifi at Gurugram,Inquiry / Help
RE: Login server password is expired,Inquiry / Help
install Printer,Other
Network not working properly ,Other
Req for installation of Sharp printer,Inquiry / Help
Account Lockout,Laptops/Desktop
kindly attach Printerwith my laptop,Printer
Tonner change at office printer,Printer
Password reset ,E-mail
We are not able to login VPN VPN id   rid.jabalpur,Other Hardware
backup pst file,Other
Install logistics Printer,Printer
Need to check Meeting Room-Kasturi,Laptops/Desktop
Need to check Meeting Room-Kumkum,Laptops/Desktop
Need to check Meeting Room-Gulab,Laptops/Desktop
Need to check Meeting Room-Kewda,Laptops/Desktop
Need to check DVR-4,Laptops/Desktop
Need to check DVR-3,Laptops/Desktop
Need to check DVR-2,Laptops/Desktop
Need to check DVR-1,Laptops/Desktop
Need to check Network - Wi-Fi,Laptops/Desktop
Need to check Network - LAN,Laptops/Desktop
Need to check Access Control,Laptops/Desktop
Need to check Server Room AC,Laptops/Desktop
Please Provide VPN access,Laptops/Desktop
Please Provide SAP Access,Laptops/Desktop
Need to check Server Room,Laptops/Desktop
Need to check UPS Room AC,Laptops/Desktop
Need to check UPS,Laptops/Desktop
Need to check PRI Line,Laptops/Desktop
Need to check Bio Metric Attendance System,Laptops/Desktop
Need to check Second Floor Canon Printer,Laptops/Desktop
Need to check First Floor Canon Printer,Laptops/Desktop
Need to check Ground Floor Canon Printer,Laptops/Desktop
Need to check Basement Canon Printer,Laptops/Desktop
Need to check VC Conference Room,Laptops/Desktop
Need to check VC Board Meeting Room,Laptops/Desktop
amendments of users in ptw AFR employee arun and,Laptops/Desktop
Reset VPN password ,Inquiry / Help
Mr. Anthony Printerissue,Laptops/Desktop
krishmurthy  sir Printerinstall,Laptops/Desktop
dev prakash Printerinstall,Laptops/Desktop
Printerinstall,Laptops/Desktop
Printerinstall,Laptops/Desktop
INTERNET ISSUE,Laptops/Desktop
Mr. Anthony Wifi issue,Laptops/Desktop
WIFI issue,Laptops/Desktop
Printerissue,Laptops/Desktop
password issue,Laptops/Desktop
Sandeep verma new joinee laptop handover,Laptops/Desktop
password issue,Laptops/Desktop
Jammu depot VPN issue,Laptops/Desktop
VPN not working,Laptops/Desktop
Guest Laptop Need to connect with TV,Laptops/Desktop
7th Floor TV need to mount,Laptops/Desktop
Gaurav Sharma data handover to Mr. Anthony,Laptops/Desktop
Gaurav Sharma 5 Mail and Mail data need to downloa,Laptops/Desktop
New Laptop handover,Laptops/Desktop
need to send toner to Vasant Vihar,Laptops/Desktop
Need to install apps,Laptops/Desktop
need to configure SAP,Laptops/Desktop
need to install SAP,Laptops/Desktop
need to configure vpn,Laptops/Desktop
need to install vpn,Laptops/Desktop
Need to configure outlook profile,Laptops/Desktop
Need to configure login profile,Laptops/Desktop
Need to configure OS,Laptops/Desktop
Need to allocate new power adaptor,Laptops/Desktop
Need to allocate new laptop,Laptops/Desktop
Need to prepare WDV of 5CD64581K8 (440000002485-0),Laptops/Desktop
Need to prepare WDV of 5CD7072TKL/(5CD7072TK2),Laptops/Desktop
Need to prepare WDV of 5CD7072TK5 (440000002273-0),Laptops/Desktop
Need to prepare WDV of 5CD6346J77 (440000002068-0),Laptops/Desktop
login issue,Laptops/Desktop
login issue,Laptops/Desktop
vpn is not working,Laptops/Desktop
login issue,Laptops/Desktop
login issue,Laptops/Desktop
"1st Floor Printeris showing error ""Paper Jam""",Laptops/Desktop
Outlook is not working,Laptops/Desktop
Extn - 11079 is not working,Laptops/Desktop
Need to maintain record of dispatched laptop,Laptops/Desktop
need to allocate carry bag,Laptops/Desktop
Need to dispatch laptop,Laptops/Desktop
Need to install apps,Laptops/Desktop
need to configure SAP,Laptops/Desktop
need to install SAP,Laptops/Desktop
need to configure vpn,Laptops/Desktop
need to install vpn,Laptops/Desktop
Need to configure outlook profile,Laptops/Desktop
Need to configure login profile,Laptops/Desktop
Need to configure OS,Laptops/Desktop
Need to allocate new power adaptor,Laptops/Desktop
Need to allocate new laptop,Laptops/Desktop
Need to send Data card to Prism Tower,Laptops/Desktop
Wi-Fi is not working,Laptops/Desktop
outlook issue,Laptops/Desktop
Data handover,Laptops/Desktop
TV Installation in Meeting room 7th floor,Laptops/Desktop
outlook issue,Laptops/Desktop
vpn issue,Laptops/Desktop
vpn issue,Laptops/Desktop
account locked,Laptops/Desktop
word not working,Laptops/Desktop
Connect tv from laptop in 4.1,Laptops/Desktop
Printerissue,Laptops/Desktop
outlook issue,Laptops/Desktop
outlook issue,Laptops/Desktop
ACCESS FOR GOOGLE.ALL NET BANKING  WEBSITES.ALL ,Network
Required access to central server .Name User Emp  ,Network
inatall scanner ,Other
reset vpn id st00989,Laptops/Desktop
"Please reset vpn id for sec token, cfg.etah",Laptops/Desktop
Please create an admin account for Mumbai. Admin account to be created: • Laiq.admin,Other
disk space 0 and outlook issue,Laptops/Desktop
Mail Configuration at his profile ,E-mail
VPN password reset request for cfg.etah and reques,Network
VPN new Ver. update ,Network
SAP Configuration,SAP
Pl install the printer,Printer
"DEAR SIR,  PLEASE RESET THE PASSWARD  USER NAME- SG02608",Network
Outlook is not working,Inquiry / Help
Configure Printerand scanner,Printer
New mails not able to visible. ,E-mail
Kindly Add MAC and change Display name as per folo,Laptops/Desktop
LAPTOP NOT WORKING,Inquiry / Help
Incident INC0021703,Inquiry / Help
backup transfer,Laptops/Desktop
sap not working,Laptops/Desktop
system slow working,Laptops/Desktop
shared folder access  permissions,Other
"Please amend weight , date and time in slip serial",Laptops/Desktop
system is working slow,Laptops/Desktop
Please create an admin account for Aligarh.  Admin account to be created: • Gauravraaz.admin,Other
Fwd: VPN Connation not connect,Inquiry / Help
Please Install SAP in new system at Jammu Depot. ,Laptops/Desktop
Please amend truck number in slip serial number 64,Laptops/Desktop
vpn not working.contact no.9509617722,Network
VPN NOT WORKING,Inquiry / Help
Zoom not working on my laptop please check,Laptops/Desktop
sap configuration and vpn mfa configuration,Network
VPN installation at satara depot,Network
Sap installation at satara depot,SAP
"Dear Sir, I am working a DMO for PCMC ,PUNE. My outlook password has expired soon. kindly update my password. Emp id-13001083.",E-mail
Password reset ,E-mail
"DEAR SIR,  PLEASE RESET THE PASSWARD  USER NAME- SG01811",Network
"DEAR SIR,  PLEASE RESET THE PASSWARD  USER NAME- SGO9274",Network
Kindly reset vpn mfa :  13002194,Network
MFA Reset for employee,Network
Name of my predecessor ie Late Shri Bhagwan Singh ,Laptops/Desktop
Change of name of holder of PC,Inquiry / Help
Requesting new Printerfor  my office.,Printer
install Printer,Other
Sir Please Update Line Item 10 In RFID & Retrigge,Application
Need to check Meeting Room-Kasturi,Laptops/Desktop
Need to check Meeting Room-Kumkum,Laptops/Desktop
Need to check Meeting Room-Gulab,Laptops/Desktop
Need to check Meeting Room-Kewda,Laptops/Desktop
Need to check DVR-4,Laptops/Desktop
Need to check DVR-3,Laptops/Desktop
Need to check DVR-2,Laptops/Desktop
Need to check DVR-1,Laptops/Desktop
Need to check Network - Wi-Fi,Laptops/Desktop
Need to check Network - LAN,Laptops/Desktop
 system Network connectivity ,Other
Need to check Access Control,Laptops/Desktop
Need to check Server Room AC,Laptops/Desktop
Need to check Server Room,Laptops/Desktop
Need to check UPS Room AC,Laptops/Desktop
Need to check UPS,Laptops/Desktop
Need to check PRI Line,Laptops/Desktop
Need to check Bio Metric Attendance System,Laptops/Desktop
Need to check Second Floor Canon Printer,Laptops/Desktop
Need to check First Floor Canon Printer,Laptops/Desktop
Need to check Ground Floor Canon Printer,Laptops/Desktop
Need to check Basement Canon Printer,Laptops/Desktop
Need to check VC Conference Room,Laptops/Desktop
Need to check VC Board Meeting Room,Laptops/Desktop
Network setup for maliyakhera office,Other
Adobe application not able to open,Software
"Dear Team, Please reset password for SAP user cf",Network
PrinterInastall ,Other
Network setup for Maliyakhera office,Other
Reg. authorization for S_ALR_87013558 Tcode in SAP,Inquiry / Help
"Request to increase mailbox storage, now it is 1.7",Laptops/Desktop
"Sir,Frequently iam getting ""SYSTEM FAN (90B) warn",Laptops/Desktop
Reset VPN Id,Network
"As discussed with you, please arrange to issue a D",Laptops/Desktop
VPN ERROR IN   CFG_KISHANGA,Inquiry / Help
A laptop HP Probook 440 G6 has been provided to un,Laptops/Desktop
"Sir
 please update line in 10 in RFID & Retrigger.",Application
Black Cartridge No. - HP 116A Black Original Laser,Printer
Fw: Request Item RITM0010194 comments added -- Request for a new laptop,Inquiry / Help
"Dear team,Request you to please map all transact",Datacenter
Printernot connected,Printer
Reg. SAP Password,Inquiry / Help
Kindly amend weight in Slip Serial no. - 639196 to,Laptops/Desktop
SirPrinterNot Connect To My Computer Please Do ,Printer
"Dear Team,I am not able to login my Outlook acco",Network
Kindly complete the sap installation.,SAP
Ms office related error,Laptops/Desktop
FW: Incident INC0021019 has been opened on your behalf,Inquiry / Help
"Hi, Team, My laptop down arrow key is not working.",Laptops/Desktop
profile configure and data,Laptops/Desktop
locked,Laptops/Desktop
application settings,Laptops/Desktop
storage increase,Laptops/Desktop
